#Station Long Name,MURRAY RIVER @ BARMAH
#Station Number,409215
#Station Location Latitude,-36.01760591
#Station Location Longitude,144.9610344
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,VIC - Department of Environment, Land, Water and Planning
#Rows,16349
#Timestamp,Value,Interpolation Type,Quality Code
1974-12-19T00:00:00.000+10:00,,603,-1
1974-12-20T00:00:00.000+10:00,183.090,603,10
1974-12-21T00:00:00.000+10:00,173.240,603,10
1974-12-22T00:00:00.000+10:00,164.413,603,10
1974-12-23T00:00:00.000+10:00,155.741,603,10
1974-12-24T00:00:00.000+10:00,146.914,603,10
1974-12-25T00:00:00.000+10:00,138.401,603,10
1974-12-26T00:00:00.000+10:00,131.558,603,10
1974-12-27T00:00:00.000+10:00,125.262,603,10
1974-12-28T00:00:00.000+10:00,119.595,603,10
1974-12-29T00:00:00.000+10:00,114.727,603,10
1974-12-30T00:00:00.000+10:00,110.509,603,10
1974-12-31T00:00:00.000+10:00,107.018,603,10
1975-01-01T00:00:00.000+10:00,103.840,603,10
1975-01-02T00:00:00.000+10:00,101.243,603,10
1975-01-03T00:00:00.000+10:00,99.358,603,10
1975-01-04T00:00:00.000+10:00,97.958,603,10
1975-01-05T00:00:00.000+10:00,95.638,603,10
1975-01-06T00:00:00.000+10:00,93.808,603,10
1975-01-07T00:00:00.000+10:00,91.779,603,10
1975-01-08T00:00:00.000+10:00,90.106,603,10
1975-01-09T00:00:00.000+10:00,88.299,603,10
1975-01-10T00:00:00.000+10:00,87.611,603,10
1975-01-11T00:00:00.000+10:00,87.413,603,10
1975-01-12T00:00:00.000+10:00,87.127,603,10
1975-01-13T00:00:00.000+10:00,86.738,603,10
1975-01-14T00:00:00.000+10:00,86.614,603,10
1975-01-15T00:00:00.000+10:00,86.631,603,10
1975-01-16T00:00:00.000+10:00,86.704,603,10
1975-01-17T00:00:00.000+10:00,86.346,603,10
1975-01-18T00:00:00.000+10:00,85.781,603,10
1975-01-19T00:00:00.000+10:00,85.620,603,10
1975-01-20T00:00:00.000+10:00,85.832,603,10
1975-01-21T00:00:00.000+10:00,85.171,603,10
1975-01-22T00:00:00.000+10:00,84.911,603,10
1975-01-23T00:00:00.000+10:00,84.423,603,10
1975-01-24T00:00:00.000+10:00,83.380,603,10
1975-01-25T00:00:00.000+10:00,82.837,603,10
1975-01-26T00:00:00.000+10:00,82.037,603,10
1975-01-27T00:00:00.000+10:00,81.616,603,10
1975-01-28T00:00:00.000+10:00,81.825,603,10
1975-01-29T00:00:00.000+10:00,81.919,603,10
1975-01-30T00:00:00.000+10:00,81.775,603,10
1975-01-31T00:00:00.000+10:00,81.296,603,10
1975-02-01T00:00:00.000+10:00,79.965,603,10
1975-02-02T00:00:00.000+10:00,78.518,603,10
1975-02-03T00:00:00.000+10:00,78.883,603,10
1975-02-04T00:00:00.000+10:00,80.611,603,10
1975-02-05T00:00:00.000+10:00,81.634,603,10
1975-02-06T00:00:00.000+10:00,82.206,603,10
1975-02-07T00:00:00.000+10:00,82.493,603,10
1975-02-08T00:00:00.000+10:00,82.046,603,10
1975-02-09T00:00:00.000+10:00,80.984,603,10
1975-02-10T00:00:00.000+10:00,80.507,603,10
1975-02-11T00:00:00.000+10:00,80.203,603,10
1975-02-12T00:00:00.000+10:00,80.830,603,10
1975-02-13T00:00:00.000+10:00,80.662,603,10
1975-02-14T00:00:00.000+10:00,82.451,603,10
1975-02-15T00:00:00.000+10:00,85.023,603,10
1975-02-16T00:00:00.000+10:00,87.108,603,10
1975-02-17T00:00:00.000+10:00,88.815,603,10
1975-02-18T00:00:00.000+10:00,89.414,603,10
1975-02-19T00:00:00.000+10:00,89.261,603,10
